Image,Grid_Size,kappa,lambda_geo,K,h_star,HE_time,HE_h_max,HE_gap,HE_success,DIJ_time,DIJ_h_max,DIJ_gap,DIJ_success,Speedup_Dijkstra_vs_HE
heightmap.png,256,-0.5,0.25,500000,0.24705882352941178,0.0411104999948293,0.25098039215686274,0.015873015873015817,True,0.058986299962271005,0.24705882352941178,0.0,True,1.4348232196078872
heightmap.png,256,-0.5,0.35,500000,0.24705882352941178,0.028128000034485012,0.2549019607843137,0.03174603174603163,True,0.058986299962271005,0.24705882352941178,0.0,True,2.0970669756098417
heightmap.png,256,-0.5,0.5,500000,0.24705882352941178,0.026950999977998435,0.2549019607843137,0.03174603174603163,True,0.058986299962271005,0.24705882352941178,0.0,True,2.188649772194899
heightmap.png,256,-0.5,0.7,500000,0.24705882352941178,0.029281899973284453,0.34901960784313724,0.41269841269841256,True,0.058986299962271005,0.24705882352941178,0.0,True,2.0144287090690005
heightmap.png,256,-0.75,0.25,500000,0.24705882352941178,0.025384799984749407,0.2549019607843137,0.03174603174603163,True,0.058986299962271005,0.24705882352941178,0.0,True,2.3236858276491676
heightmap.png,256,-0.75,0.35,500000,0.24705882352941178,0.025737499992828816,0.2549019607843137,0.03174603174603163,True,0.058986299962271005,0.24705882352941178,0.0,True,2.291842641231908
heightmap.png,256,-0.75,0.5,500000,0.24705882352941178,0.029149999958463013,0.2549019607843137,0.03174603174603163,True,0.058986299962271005,0.24705882352941178,0.0,True,2.0235437408687105
heightmap.png,256,-0.75,0.7,500000,0.24705882352941178,0.029656500031705946,0.2627450980392157,0.06349206349206349,True,0.058986299962271005,0.24705882352941178,0.0,True,1.9889838618585602
heightmap.png,256,-1.0,0.25,500000,0.24705882352941178,0.027074199984781444,0.2549019607843137,0.03174603174603163,True,0.058986299962271005,0.24705882352941178,0.0,True,2.178690413582951
heightmap.png,256,-1.0,0.35,500000,0.24705882352941178,0.025788200029637665,0.34901960784313724,0.41269841269841256,True,0.058986299962271005,0.24705882352941178,0.0,True,2.2873368398911005
heightmap.png,256,-1.0,0.5,500000,0.24705882352941178,0.02455440000630915,0.2627450980392157,0.06349206349206349,True,0.058986299962271005,0.24705882352941178,0.0,True,2.4022700594237576
heightmap.png,256,-1.0,0.7,500000,0.24705882352941178,0.02600680000614375,0.2627450980392157,0.06349206349206349,True,0.058986299962271005,0.24705882352941178,0.0,True,2.2681106459978277
heightmap.png,512,-0.5,0.25,500000,0.24705882352941178,0.10755989997414872,0.25098039215686274,0.015873015873015817,True,0.25095020001754165,0.24705882352941178,0.0,True,2.3331204294337926
heightmap.png,512,-0.5,0.35,500000,0.24705882352941178,0.10590659995796159,0.25098039215686274,0.015873015873015817,True,0.25095020001754165,0.24705882352941178,0.0,True,2.369542598073713
heightmap.png,512,-0.5,0.5,500000,0.24705882352941178,0.12176790001103655,0.25098039215686274,0.015873015873015817,True,0.25095020001754165,0.24705882352941178,0.0,True,2.0608896104375334
heightmap.png,512,-0.5,0.7,500000,0.24705882352941178,0.09924239997053519,0.34901960784313724,0.41269841269841256,True,0.25095020001754165,0.24705882352941178,0.0,True,2.528659122432026
heightmap.png,512,-0.75,0.25,500000,0.24705882352941178,0.10745870001846924,0.25098039215686274,0.015873015873015817,True,0.25095020001754165,0.24705882352941178,0.0,True,2.3353176613378914
heightmap.png,512,-0.75,0.35,500000,0.24705882352941178,0.10882690001744777,0.25098039215686274,0.015873015873015817,True,0.25095020001754165,0.24705882352941178,0.0,True,2.305957442298805
heightmap.png,512,-0.75,0.5,500000,0.24705882352941178,0.09996840002713725,0.34901960784313724,0.41269841269841256,True,0.25095020001754165,0.24705882352941178,0.0,True,2.5102952527940743
heightmap.png,512,-0.75,0.7,500000,0.24705882352941178,0.10429279995150864,0.2627450980392157,0.06349206349206349,True,0.25095020001754165,0.24705882352941178,0.0,True,2.4062082917921654
heightmap.png,512,-1.0,0.25,500000,0.24705882352941178,0.10621609998634085,0.25098039215686274,0.015873015873015817,True,0.25095020001754165,0.24705882352941178,0.0,True,2.3626380562816114
heightmap.png,512,-1.0,0.35,500000,0.24705882352941178,0.10288070002570748,0.34901960784313724,0.41269841269841256,True,0.25095020001754165,0.24705882352941178,0.0,True,2.439234958110074
heightmap.png,512,-1.0,0.5,500000,0.24705882352941178,0.10440320003544912,0.2627450980392157,0.06349206349206349,True,0.25095020001754165,0.24705882352941178,0.0,True,2.403663871723605
heightmap.png,512,-1.0,0.7,500000,0.24705882352941178,0.11048460000893101,0.26666666666666666,0.0793650793650793,True,0.25095020001754165,0.24705882352941178,0.0,True,2.271359085313755
heightmap.png,1024,-0.5,0.25,500000,0.24705882352941178,0.2122475999640301,0.25098039215686274,0.015873015873015817,True,1.0493258999777026,0.24705882352941178,0.0,True,4.943876397921736
heightmap.png,1024,-0.5,0.35,500000,0.24705882352941178,0.24154369998723269,0.25098039215686274,0.015873015873015817,True,1.0493258999777026,0.24705882352941178,0.0,True,4.344248680603829
heightmap.png,1024,-0.5,0.5,500000,0.24705882352941178,0.21691260003717616,0.25098039215686274,0.015873015873015817,True,1.0493258999777026,0.24705882352941178,0.0,True,4.837551621242201
heightmap.png,1024,-0.5,0.7,500000,0.24705882352941178,0.2196053999941796,0.34901960784313724,0.41269841269841256,True,1.0493258999777026,0.24705882352941178,0.0,True,4.778233595373856
heightmap.png,1024,-0.75,0.25,500000,0.24705882352941178,0.2165205999626778,0.25098039215686274,0.015873015873015817,True,1.0493258999777026,0.24705882352941178,0.0,True,4.846309774490638
heightmap.png,1024,-0.75,0.35,500000,0.24705882352941178,0.21829089999664575,0.34509803921568627,0.39682539682539675,True,1.0493258999777026,0.24705882352941178,0.0,True,4.807007071727803
heightmap.png,1024,-0.75,0.5,500000,0.24705882352941178,0.2110493999789469,0.34901960784313724,0.41269841269841256,True,1.0493258999777026,0.24705882352941178,0.0,True,4.971944483530289
heightmap.png,1024,-0.75,0.7,500000,0.24705882352941178,0.2248078000266105,0.25882352941176473,0.04761904761904767,True,1.0493258999777026,0.24705882352941178,0.0,True,4.667657883105008
heightmap.png,1024,-1.0,0.25,500000,0.24705882352941178,0.2134127999888733,0.25098039215686274,0.015873015873015817,True,1.0493258999777026,0.24705882352941178,0.0,True,4.916883617254501
heightmap.png,1024,-1.0,0.35,500000,0.24705882352941178,0.20576390001224354,0.34901960784313724,0.41269841269841256,True,1.0493258999777026,0.24705882352941178,0.0,True,5.099659852458399
heightmap.png,1024,-1.0,0.5,500000,0.24705882352941178,0.2210709999781102,0.25882352941176473,0.04761904761904767,True,1.0493258999777026,0.24705882352941178,0.0,True,4.746556084161215
heightmap.png,1024,-1.0,0.7,500000,0.24705882352941178,0.2235396999749355,0.2627450980392157,0.06349206349206349,True,1.0493258999777026,0.24705882352941178,0.0,True,4.694136657136781
ost003d.png,256,-0.5,0.25,500000,0.17254901960784313,0.023744499951135367,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,4.718317935605811
ost003d.png,256,-0.5,0.35,500000,0.17254901960784313,0.025103099993430078,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,4.462958758908446
ost003d.png,256,-0.5,0.5,500000,0.17254901960784313,0.02588530001230538,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,4.3280974119741495
ost003d.png,256,-0.5,0.7,500000,0.17254901960784313,0.02777109999442473,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,4.034197421561445
ost003d.png,256,-0.75,0.25,500000,0.17254901960784313,0.026263499981723726,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,4.265771891385221
ost003d.png,256,-0.75,0.35,500000,0.17254901960784313,0.02722299995366484,0.17647058823529413,0.022727272727272808,True,0.11203409999143332,0.17254901960784313,0.0,True,4.115420790585976
ost003d.png,256,-0.75,0.5,500000,0.17254901960784313,0.027798400027677417,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,4.030235548804493
ost003d.png,256,-0.75,0.7,500000,0.17254901960784313,0.027117600024212152,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,4.1314164930304615
ost003d.png,256,-1.0,0.25,500000,0.17254901960784313,0.025867599993944168,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,4.331058931546084
ost003d.png,256,-1.0,0.35,500000,0.17254901960784313,0.025972000032197684,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,4.313649308969036
ost003d.png,256,-1.0,0.5,500000,0.17254901960784313,0.027053500001784414,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,4.141205388731354
ost003d.png,256,-1.0,0.7,500000,0.17254901960784313,0.029301000002305955,0.17254901960784313,0.0,True,0.11203409999143332,0.17254901960784313,0.0,True,3.8235589223103776
ost003d.png,512,-0.5,0.25,500000,0.03137254901960784,0.1022687999648042,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,5.398061776548993
ost003d.png,512,-0.5,0.35,500000,0.03137254901960784,0.12127320002764463,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,4.552145897838122
ost003d.png,512,-0.5,0.5,500000,0.03137254901960784,0.11307019996456802,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,4.882394301916309
ost003d.png,512,-0.5,0.7,500000,0.03137254901960784,0.10937260003993288,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,5.047455211103925
ost003d.png,512,-0.75,0.25,500000,0.03137254901960784,0.10780140000861138,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,5.121021619194607
ost003d.png,512,-0.75,0.35,500000,0.03137254901960784,0.11875040002632886,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,4.648854234605909
ost003d.png,512,-0.75,0.5,500000,0.03137254901960784,0.1080783000215888,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,5.107901400311358
ost003d.png,512,-0.75,0.7,500000,0.03137254901960784,0.10364190000109375,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,5.326545538220726
ost003d.png,512,-1.0,0.25,500000,0.03137254901960784,0.1098595000221394,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,5.025084766563586
ost003d.png,512,-1.0,0.35,500000,0.03137254901960784,0.10798769997199997,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,5.112186852453436
ost003d.png,512,-1.0,0.5,500000,0.03137254901960784,0.10150950000388548,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,5.438439751968176
ost003d.png,512,-1.0,0.7,500000,0.03137254901960784,0.10378320002928376,0.03137254901960784,0.0,True,0.5520533000235446,0.03137254901960784,0.0,True,5.319293487460164
ost003d.png,1024,-0.5,0.25,500000,0.0,0.2565434999996796,0.0,nan,True,2.267894899996463,0.0,nan,True,8.840196301988923
ost003d.png,1024,-0.5,0.35,500000,0.0,0.2466444000019692,0.0,nan,True,2.267894899996463,0.0,nan,True,9.19499854842987
ost003d.png,1024,-0.5,0.5,500000,0.0,0.24544029997196048,0.0,nan,True,2.267894899996463,0.0,nan,True,9.240108084351068
ost003d.png,1024,-0.5,0.7,500000,0.0,0.24195029999827966,0.0,nan,True,2.267894899996463,0.0,nan,True,9.373391560219552
ost003d.png,1024,-0.75,0.25,500000,0.0,0.26451329997507855,0.0,nan,True,2.267894899996463,0.0,nan,True,8.573840711261536
ost003d.png,1024,-0.75,0.35,500000,0.0,0.23517070000525564,0.0,nan,True,2.267894899996463,0.0,nan,True,9.643611640165123
ost003d.png,1024,-0.75,0.5,500000,0.0,0.23920150002231821,0.0,nan,True,2.267894899996463,0.0,nan,True,9.481106513900881
ost003d.png,1024,-0.75,0.7,500000,0.0,0.24218040000414476,0.0,nan,True,2.267894899996463,0.0,nan,True,9.364485730297124
ost003d.png,1024,-1.0,0.25,500000,0.0,0.2500470000086352,0.0,nan,True,2.267894899996463,0.0,nan,True,9.069874463273475
ost003d.png,1024,-1.0,0.35,500000,0.0,0.23764279996976256,0.0,nan,True,2.267894899996463,0.0,nan,True,9.543293128531678
ost003d.png,1024,-1.0,0.5,500000,0.0,0.24609959998633713,0.0,nan,True,2.267894899996463,0.0,nan,True,9.215353865355212
ost003d.png,1024,-1.0,0.7,500000,0.0,0.2457933999830857,0.0,nan,True,2.267894899996463,0.0,nan,True,9.226834000231612
